0x1F6B4 0x200D 0x2640 0xFE0F	:woman biking:
0x1F6B5	:person mountain biking:
0x1F6B5 0x200D 0x2642 0xFE0F	:man mountain biking:
0x1F6B5 0x200D 0x2640 0xFE0F	:woman mountain biking:
0x1F938	:person cartwheeling:
0x1F938 0x200D 0x2642 0xFE0F	:man cartwheeling:
0x1F938 0x200D 0x2640 0xFE0F	:woman cartwheeling:
0x1F93C	:people wrestling:
0x1F93C 0x200D 0x2642 0xFE0F	:men wrestling:
0x1F93C 0x200D 0x2640 0xFE0F	:women wrestling:
0x1F93D	:person playing water polo:
0x1F93D 0x200D 0x2642 0xFE0F	:man playing water polo:
0x1F93D 0x200D 0x2640 0xFE0F	:woman playing water polo:
0x1F93E	:person playing handball:
0x1F93E 0x200D 0x2642 0xFE0F	:man playing handball:
0x1F93E 0x200D 0x2640 0xFE0F	:woman playing handball:
0x1F939	:person juggling:
0x1F939 0x200D 0x2642 0xFE0F	:man juggling:
0x1F939 0x200D 0x2640 0xFE0F	:woman juggling:
0x1F9D8	:person in lotus position:
0x1F9D8 0x200D 0x2642 0xFE0F	:man in lotus position:
0x1F9D8 0x200D 0x2640 0xFE0F	:woman in lotus position:
0x1F6C0	:person taking bath:
0x1F6CC	:person in bed:
0x1F9D1 0x200D 0x1F91D 0x200D 0x1F9D1	:⊛ people holding hands:
0x1F46D	:women holding hands:
0x1F46B	:woman and man holding hands:
0x1F46C	:men holding hands:
0x1F48F	:kiss:
0x1F469 0x200D 0x2764 0xFE0F 0x200D 0x1F48B 0x200D 0x1F468	:kiss: woman, man:
0x1F468 0x200D 0x2764 0xFE0F 0x200D 0x1F48B 0x200D 0x1F468	:kiss: man, man:
0x1F469 0x200D 0x2764 0xFE0F 0x200D 0x1F48B 0x200D 0x1F469	:kiss: woman, woman:
0x1F491	:couple with heart:
0x1F469 0x200D 0x2764 0xFE0F 0x200D 0x1F468	:couple with heart: woman, man:
0x1F468 0x200D 0x2764 0xFE0F 0x200D 0x1F468	:couple with heart: man, man:
0x1F469 0x200D 0x2764 0xFE0F 0x200D 0x1F469	:couple with heart: woman, woman:
0x1F46A	:family:
0x1F468 0x200D 0x1F469 0x200D 0x1F466	:family: man, woman, boy:
0x1F468 0x200D 0x1F469 0x200D 0x1F467	:family: man, woman, girl:
0x1F468 0x200D 0x1F469 0x200D 0x1F467 0x200D 0x1F466	:family: man, woman, girl, boy:
0x1F468 0x200D 0x1F469 0x200D 0x1F466 0x200D 0x1F466	:family: man, woman, boy, boy:
0x1F468 0x200D 0x1F469 0x200D 0x1F467 0x200D 0x1F467	:family: man, woman, girl, girl:
0x1F468 0x200D 0x1F468 0x200D 0x1F466	:family: man, man, boy:
0x1F468 0x200D 0x1F468 0x200D 0x1F467	:family: man, man, girl:
0x1F468 0x200D 0x1F468 0x200D 0x1F467 0x200D 0x1F466	:family: man, man, girl, boy:
0x1F468 0x200D 0x1F468 0x200D 0x1F466 0x200D 0x1F466	:family: man, man, boy, boy:
0x1F468 0x200D 0x1F468 0x200D 0x1F467 0x200D 0x1F467	:family: man, man, girl, girl:
0x1F469 0x200D 0x1F469 0x200D 0x1F466	:family: woman, woman, boy:
0x1F469 0x200D 0x1F469 0x200D 0x1F467	:family: woman, woman, girl:
0x1F469 0x200D 0x1F469 0x200D 0x1F467 0x200D 0x1F466	:family: woman, woman, girl, boy:
0x1F469 0x200D 0x1F469 0x200D 0x1F466 0x200D 0x1F466	:family: woman, woman, boy, boy:
0x1F469 0x200D 0x1F469 0x200D 0x1F467 0x200D 0x1F467	:family: woman, woman, girl, girl:
0x1F468 0x200D 0x1F466	:family: man, boy:
0x1F468 0x200D 0x1F466 0x200D 0x1F466	:family: man, boy, boy:
0x1F468 0x200D 0x1F467	:family: man, girl:
0x1F468 0x200D 0x1F467 0x200D 0x1F466	:family: man, girl, boy:
0x1F468 0x200D 0x1F467 0x200D 0x1F467	:family: man, girl, girl:
0x1F469 0x200D 0x1F466	:family: woman, boy:
0x1F469 0x200D 0x1F466 0x200D 0x1F466	:family: woman, boy, boy:
0x1F469 0x200D 0x1F467	:family: woman, girl:
0x1F469 0x200D 0x1F467 0x200D 0x1F466	:family: woman, girl, boy:
0x1F469 0x200D 0x1F467 0x200D 0x1F467	:family: woman, girl, girl:
0x1F5E3	:speaking head:
0x1F464	:bust in silhouette:
0x1F465	:busts in silhouette:
0x1F463	:footprints:
0x1F9B0	:red hair:
0x1F9B1	:curly hair:
0x1F9B3	:white hair:
0x1F9B2	:bald:
0x1F435	:monkey face:
0x1F412	:monkey:
0x1F98D	:gorilla:
0x1F9A7	:⊛ orangutan:
0x1F436	:dog face:
0x1F415	:dog:
0x1F9AE	:⊛ guide dog:
0x1F415 0x200D 0x1F9BA	:⊛ service dog:
0x1F429	:poodle:
0x1F43A	:wolf:
0x1F98A	:fox:
0x1F99D	:raccoon:
0x1F431	:cat face:
0x1F408	:cat:
0x1F981	:lion:
0x1F42F	:tiger face:
0x1F405	:tiger:
0x1F406	:leopard:
0x1F434	:horse face:
0x1F40E	:horse:
0x1F984	:unicorn:
0x1F993	:zebra:
0x1F98C	:deer:
0x1F42E	:cow face:
0x1F402	:ox:
0x1F403	:water buffalo:
0x1F404	:cow:
0x1F437	:pig face:
0x1F416	:pig:
0x1F417	:boar:
0x1F43D	:pig nose:
0x1F40F	:ram:
0x1F411	:ewe:
0x1F410	:goat:
0x1F42A	:camel:
0x1F42B	:two-hump camel:
0x1F999	:llama:
0x1F992	:giraffe:
0x1F418	:elephant:
0x1F98F	:rhinoceros:
0x1F99B	:hippopotamus:
0x1F42D	:mouse face:
0x1F401	:mouse:
0x1F400	:rat:
0x1F439	:hamster:
0x1F430	:rabbit face:
0x1F407	:rabbit:
0x1F43F	:chipmunk:
0x1F994	:hedgehog:
0x1F987	:bat:
0x1F43B	:bear:
0x1F428	:koala:
0x1F43C	:panda:
0x1F9A5	:⊛ sloth:
0x1F9A6	:⊛ otter:
0x1F9A8	:⊛ skunk:
0x1F998	:kangaroo:
0x1F9A1	:badger:
0x1F43E	:paw prints:
0x1F983	:turkey:
0x1F414	:chicken:
0x1F413	:rooster:
0x1F423	:hatching chick:
0x1F424	:baby chick:
0x1F425	:front-facing baby chick:
0x1F426	:bird:
0x1F427	:penguin:
0x1F54A	:dove:
0x1F985	:eagle:
0x1F986	:duck:
0x1F9A2	:swan:
